date,market_price,fair_value_median,fair_value_p25,fair_value_p75,implied_return,valuation_signal,actual_margin,actual_interest_ratio,rate_sensitivity_score,debt_category,wacc
2024-07-01,309.6,211.83829794605867,172.05165616841268,267.8791980926487,-31.57677714920586,OVERVALUED,6.69171754017574,0.43376445807749114,7.216135911267303,low_debt,10.0
2024-08-01,304.2,212.81230161204707,174.46410739169193,270.59967452323815,-30.041978431279727,OVERVALUED,6.69171754017574,0.43376445807749114,7.2161359112673,low_debt,10.0
2024-09-02,323.6,211.83037501480422,172.70000552355964,267.33175796860166,-34.53943911779845,OVERVALUED,6.69171754017574,0.43376445807749114,7.2161359112673,low_debt,10.0
2024-10-01,329.0,199.472888823631,160.44740930516147,257.255316964899,-39.36994260679909,OVERVALUED,6.8750710243113025,0.4562339469368069,7.028911814905128,low_debt,10.0
2024-11-01,304.4,197.3587358436068,157.83633258362696,252.72769347671658,-35.16467285032627,OVERVALUED,6.8750710243113025,0.4562339469368069,7.028911814905128,low_debt,10.0
2024-12-02,299.6,199.35322828923546,158.97100655705304,256.94109509718623,-33.46020417582262,OVERVALUED,6.8750710243113025,0.4562339469368069,7.02891181490513,low_debt,10.0
2025-01-02,320.2,251.50630129390234,178.98789972074465,351.0826893946843,-21.453372487850608,FAIR_VALUE,8.007472533524872,0.49155385128962564,6.0204263092797206,low_debt,10.0
2025-02-03,323.4,249.87750816951666,180.17304568146506,356.6793391692427,-22.73422752952484,FAIR_VALUE,8.007472533524872,0.49155385128962564,6.02042630927972,low_debt,10.0
2025-03-03,301.8,249.3957275379678,180.72409563805522,355.87264497777005,-17.363907376418897,FAIR_VALUE,8.007472533524872,0.49155385128962564,6.02042630927972,low_debt,10.0
2025-04-01,279.6,258.61653516258144,188.80800528944133,361.8773263344567,-7.504815750149707,FAIR_VALUE,8.368118721803146,0.5105716254997836,5.759924439296221,low_debt,10.0
2025-05-02,247.4,259.2481086592114,187.45474250869268,364.07573196346254,4.78904957930939,FAIR_VALUE,8.368118721803146,0.5105716254997836,5.759924439296222,low_debt,10.0
2025-06-02,265.8,257.8729970446882,186.1145135720913,360.1210416913688,-2.982318643834392,FAIR_VALUE,8.368118721803146,0.5105716254997836,5.759924439296217,low_debt,10.0
2025-07-01,252.4,263.89529312602195,192.23341692274875,369.6613017471997,4.554395057853378,FAIR_VALUE,8.598782915048181,0.5194015242289199,5.603766072473649,low_debt,10.0
2025-08-01,249.2,268.0271707326431,194.99780353914986,378.0247868575034,7.555044435250058,FAIR_VALUE,8.598782915048181,0.5194015242289199,5.603766072473651,low_debt,10.0
2025-09-01,270.0,265.915051118962,195.4829139897958,373.43350428615,-1.5129440300140629,FAIR_VALUE,8.598782915048181,0.5194015242289199,5.603766072473651,low_debt,10.0
2025-10-01,243.4,261.53380944076173,192.87093408047744,365.62023789483993,7.450209301874167,FAIR_VALUE,8.598782915048181,0.5194015242289199,5.603766072473651,low_debt,10.0
2025-11-03,269.4,265.3108257990081,192.43497976763715,370.0301994612896,-1.5178820345181365,FAIR_VALUE,8.598782915048181,0.5194015242289199,5.60376607247365,low_debt,10.0
2025-12-01,265.6,263.68931835935314,194.97252273705521,367.37706621829784,-0.7193831478339185,FAIR_VALUE,8.598782915048181,0.5194015242289199,5.603766072473651,low_debt,10.0
